"","name","mass","eff","diet","order","family","habitat","fac"
"118","Damaliscus_lunatus",136.0003,0.884829119019448,2,"Artiodactyla","Bovidae",4,3
"119","Dasycercus_byrnei",0.1038,0.653276502515417,2,"Dasyuromorphia","Dasyuridae",3,2
"120","Dasyprocta_azarae",2.31,0.793657482681208,2,"Rodentia","Dasyproctidae",1,3
"121","Dasyprocta_mexicana",5,0.825967136620747,2,"Rodentia","Dasyproctidae",1,1
"122","Dasypus_kappleri",9.5,0.731662055373975,1,"Xenarthra","Dasypodidae",1,1
"123","Dasypus_sabanicola",1.15,0.690846996478472,1,"Xenarthra","Dasypodidae",4,1
"124","Dasyurus_albopunctatus",0.637,0.735801844348746,1,"Dasyuromorphia","Dasyuridae",1,2
"125","Dasyurus_geoffroii",1.1,0.723065527771476,1,"Dasyuromorphia","Dasyuridae",1,2
"126","Dasyurus_maculatus",5.5,0.705519873036201,1,"Dasyuromorphia","Dasyuridae",1,2
"127","Daubentonia_madagascariensis",2.5,0.764268992661983,3,"Primates","Daubentoniidae",2,2
"128","Dendrohyrax_arboreus",2.95,0.718063818307165,2,"Hyracoidea","Procaviidae",2,2
"129","Dendrolagus_bennettianus",10.95,0.760959137443874,2,"Diprotodontia","Macropodidae",2,2
"130","Dendrolagus_matschiei",6.96,0.716461555181042,2,"Diprotodontia","Macropodidae",2,2
"131","Dendromus_mesomelas",0.0102,0.719985490550646,3,"Rodentia","Muridae",2,2
"132","Desmana_moschata",0.383,0.661372467469842,1,"Insectivora","Talpidae",1,3
"133","Diceros_bicornis",1180.5109,0.856998029610861,2,"Perissodactyla","Rhinocerotidae",4,3
"134","Didelphis_marsupialis",1.0912,0.728277120396998,3,"Didelphimorphia","Didelphidae",2,2
"135","Dinomys_branickii",12.5,0.717192291184732,2,"Rodentia","Dinomyidae",1,3
"136","Diplomesodon_pulchellum",0.011,0.670173693629252,1,"Insectivora","Soricidae",3,3
"137","Dipodomys_deserti",0.1045,0.63323336026819,2,"Rodentia","Heteromyidae",3,1
"138","Dipodomys_merriami",0.042,0.704282143618172,2,"Rodentia","Heteromyidae",3,1
"139","Dipodomys_microps",0.0546,0.667312584622662,2,"Rodentia","Heteromyidae",3,1
"140","Dipodomys_ordii",0.0604,0.67507430768699,2,"Rodentia","Heteromyidae",3,1
"141","Dipus_sagitta",0.089,0.663740086101319,3,"Rodentia","Dipodidae",3,3
"142","Dolichotis_patagonum",8,0.805835854324841,2,"Rodentia","Caviidae",4,3
"143","Dolichotis_salinicola",1.6,0.786194852758337,2,"Rodentia","Caviidae",4,3
"144","Dorcatragus_megalotis",10.2499,0.87923117757654,2,"Artiodactyla","Bovidae",3,3
