"","name","mass","eff","diet","order","family","habitat","fac"
"187","Gymnobelideus_leadbeateri",0.127,0.532529966501172,3,"Diprotodontia","Petauridae",2,2
"188","Hapalemur_griseus",1.4,0.509686993905499,2,"Primates","Lemuridae",2,2
"189","Helarctos_malayanus",46.5,0.788029946392921,1,"Carnivora","Ursidae",1,3
"190","Hemibelideus_lemuroides",0.9525,0.442204762379978,2,"Diprotodontia","Psuedocheiridae",2,2
"191","Hemicentetes_semispinosus",0.1359,0.727194884088718,1,"Insectivora","Tenrecidae",1,3
"192","Hemiechinus_aethiopicus",0.188,0.64896867985359,1,"Insectivora","Erinaceidae",3,3
"193","Hemigalus_derbyanus",2.116875,0.746766033674892,1,"Carnivora","Viverridae",2,2
"194","Herpailurus_yaguarondi",7.8749,0.802091021453177,1,"Carnivora","Felidae",1,3
"195","Herpestes_brachyurus",2,0.745317969603077,1,"Carnivora","Herpestidae",1,3
"196","Herpestes_edwardsii",1.3242,0.647237885051677,1,"Carnivora","Herpestidae",1,3
"197","Herpestes_smithii",1.78195,0.676849242066337,1,"Carnivora","Herpestidae",1,3
"198","Heterohyrax_brucei",2.625,0.598729486049483,2,"Hyracoidea","Procaviidae",5,3
"199","Heteromys_desmarestianus",0.0725,0.588739768049659,2,"Rodentia","Heteromyidae",1,1
"200","Hexaprotodon_liberiensis",235.0012,0.818983170244097,2,"Artiodactyla","Hippopotamidae",1,3
"201","Hippopotamus_amphibius",1417.49,0.871329319228743,2,"Artiodactyla","Hippopotamidae",4,3
"202","Hippotragus_equinus",269.9977,0.905250059018057,2,"Artiodactyla","Bovidae",4,3
"203","Hippotragus_niger",227.4993,0.921730551124272,2,"Artiodactyla","Bovidae",4,3
"204","Homo_sapiens",70,0.896259192908538,3,"Primates","Homoinidae",4,3
"205","Hoplomys_gymnurus",0.24,0.666586627089909,3,"Rodentia","Echimyidae",1,3
"206","Hyaena_hyaena",41.7051,0.871534462206887,1,"Carnivora","Hyaenidae",4,3
"207","Hydrochaeris_hydrochaeris",62.4496,0.830684715439609,2,"Rodentia","Hydrochaeridae",4,1
"208","Hydromys_chrysogaster",0.47975,0.70337398605121,1,"Rodentia","Muridae",1,1
"209","Hylobates_agilis",5.65,0.759475799456575,3,"Primates","Hylobatidae",2,2
"210","Hylobates_leucogenys",7.32,0.625137426391177,3,"Primates","Hylobatidae",2,2
"211","Hylomys_suillus",0.064,0.584311447983174,1,"Insectivora","Erinaceidae",1,3
"212","Hypogeomys_antimena",1.25,0.659786634241493,3,"Rodentia","Muridae",1,1
"213","Hypsiprymnodon_moschatus",0.52,0.611534536579202,3,"Diprotodontia","Potoroidae",1,3
"214","Hystrix_africaeaustralis",14.936,0.766079651614935,2,"Rodentia","Hystricidae",4,1
"215","Indri_indri",8,0.512940473411009,2,"Primates","Indridae",2,2
"216","Isoodon_obesulus",0.775,0.617014810360195,3,"Peramelemorphia","Peramelidae",1,1
"217","Jaculus_jaculus",0.0566,0.670715733897057,3,"Rodentia","Dipodidae",3,3
"218","Kerodon_rupestris",0.8,0.592265523816658,2,"Rodentia","Caviidae",3,3
"219","Lagidium_viscacia",1.54,0.636585092473495,2,"Rodentia","Chinchillidae",5,3
"220","Lagorchestes_conspicillatus",3.05,0.715947417044379,2,"Diprotodontia","Macropodidae",1,3
"221","Lagostomus_maximus",4.6475,0.582049216898039,2,"Rodentia","Chinchillidae",4,1
"222","Lagothrix_flavicauda",6.8,0.904691921922551,2,"Primates","Cebidae",2,2
