"","name","image","thigh","shank","meta","toe","HH","eff"
"45","Equus_hemionus",5.5,76.4422207694633,91.9200308247186,70.8702746913157,19.5781536017605,235.316162162383,0.907356288839027
"46","Equus_zebra",5.5,64.9936942774163,78.556769805368,55.9118964299921,14.4327484462199,190.079606185469,0.892566306602693
"47","Felis_silvestris",6,96.9801537288688,101.454327988717,56.1423000037792,11.7247805681457,205.914531301115,0.770505121205052
"48","Gazella_granti",5.5,104.553294367531,127.969836433808,118.437564311218,23.1061035449355,332.127319315092,0.894101125272826
"49","Gazella_subgutturosa",6,73.9240754661155,89.0597400211294,83.5045679190986,17.3424700518564,230.77130122263,0.873020376178368
"50","Gazella_thomsonii",5.5,164.157241556308,206.365387403308,162.591756169899,35.1038128689493,493.47136279933,0.87433768439339
"51","Giraffa_camelopardalis",5.5,56.8336824321405,99.0299207354062,100.629168952445,20.6767992335739,254.088308884032,0.915322877911656
"52","Gorilla_gorilla",5.5,108.352916745638,91.5189357517746,14.6355430985816,13.8003847189807,204.127321858905,0.887832774907286
"53","Heteromys_desmarestianus",5,49.0747776150492,62.6719173682896,29.0114331961012,9.89309732620491,87.967262241861,0.588739768049659
"54","Hippopotamus_amphibius",5,111.322187157317,102.295216525473,38.9813095571894,17.6132616095643,236.880816401491,0.871329319228743
"55","Hippotragus_equinus",6,96.5484958977373,139.063415676158,108.801805823265,25.29556109249,338.109508451995,0.905250059018057
"56","Homo_sapiens",5.5,265.47672342631,258.882521808291,67.6559653031578,39.0863075370729,566.876088816747,0.896259192908538
"57","Hyaena_hyaena",5.5,139.890455439081,164.006281339992,82.2834704540493,16.476981933203,351.465931157825,0.871534462206887
"58","Isoodon_obesulus",5.5,107.098142467796,148.777759917265,53.1580303209099,24.6342010035917,212.674301958781,0.617014810360195
"59","Lama_guanicoe",5.5,130.908507023482,153.220568521593,111.067755730673,23.9185729833438,394.233675215882,0.934601158521878
"60","Leggadina_forresti",3,58.3788651501839,82.8499860168814,33.9695184920187,11.3071076644805,98.9452479164148,0.528765366135871
"61","Leopardus_pardalis",5.5,74.6874405898247,79.4161598764111,36.9618435057698,9.78351947527293,163.431671319189,0.807345934178616
"62","Leptailurus_serval",5.5,148.461286291663,166.564711679902,93.2502614132815,17.7668533798144,342.328294104544,0.824500249703151
"63","Lepus_alleni",5.5,112.374809059164,158.105880890532,72.2523526027214,20.8229223587885,241.720377068453,0.67203793791611
"64","Lepus_americanus",5.5,57.9227122766466,76.743637665939,44.4405479490442,13.7713672463887,117.591825357234,0.621736033524636
"65","Lepus_arcticus",5.5,81.4622443514863,101.095653280087,49.873775996655,16.8977962096109,182.011594120975,0.733498415352015
"66","Lepus_californicus",5.5,91.1700685420793,115.19261567148,62.3489400196772,15.9829131500488,170.357692056668,0.611735688666682
"67","Lepus_europaeus",5.5,111.122444977739,133.272074863591,67.850865919379,19.8580498054944,262.783352717838,0.786143297377775
